kgmp X,kgmp Y,kcgd X,kcgd Y,ids X,ids Y,rds X,rds Y,kcds X,kcds Y,kgds X,kgds Y,kcgs X,kcgs Y
23.74086,-9.874442687560816,23.74086,4.407183803538338e-11,23.74086,-0.0002410680916033702,23.74086,10037.99132814616,23.74086,-7.681450983397598e-14,23.74086,-0.413250563084763,23.74086,1.005993838302827e-10
24.77902,-9.874442687538044,24.77902,4.407183803513385e-11,24.77902,-0.0002516097804664835,24.77902,9617.429849213349,24.77902,-7.681450983337971e-14,24.77902,-0.4132505630839089,24.77902,1.005993838298124e-10
25.86259,-9.874442687516231,25.86259,4.407183803489472e-11,25.86259,-0.0002626124478163541,25.86259,9214.488624352538,25.86259,-7.681450983283237e-14,25.86259,-0.4132505630830904,25.86259,1.005993838293618e-10
26.99353,-9.874442687495312,26.99353,4.407183803466546e-11,26.99353,-0.0002740962518238421,26.99353,8828.429418206562,26.99353,-7.681450983228104e-14,26.99353,-0.413250563082306,26.99353,1.005993838289297e-10
28.17394,-9.874442687475351,28.17394,4.407183803444653e-11,28.17394,-0.000286082232158319,28.17394,8458.544925247239,28.17394,-7.681450983177328e-14,28.17394,-0.4132505630815563,28.17394,1.005993838285171e-10
29.40596,-9.874442687456135,29.40596,4.407183803423589e-11,29.40596,-0.0002985923485348183,29.40596,8104.157473908602,29.40596,-7.681450983129402e-14,29.40596,-0.413250563080836,29.40596,1.005993838281201e-10
30.69185,-9.874442687437814,30.69185,4.407183803403505e-11,30.69185,-0.0003116495209467606,30.69185,7764.617785014287,30.69185,-7.68145098308224e-14,30.69185,-0.4132505630801478,30.69185,1.005993838277417e-10
32.03398,-9.874442687420213,32.03398,4.40718380338421e-11,32.03398,-0.0003252776716580976,32.03398,7439.303782221435,32.03398,-7.681450983036321e-14,32.03398,-0.4132505630794873,32.03398,1.005993838273781e-10
33.4348,-9.874442687403331,33.4348,4.407183803365701e-11,33.4348,-0.0003395017690316645,33.4348,7127.619452304772,33.4348,-7.681450982995191e-14,33.4348,-0.4132505630788542,33.4348,1.005993838270292e-10
34.89687,-9.874442687387196,34.89687,4.407183803348015e-11,34.89687,-0.0003543478732741354,34.89687,6828.993753190816,34.89687,-7.681450982952842e-14,34.89687,-0.4132505630782484,34.89687,1.00599383826696e-10
36.42288,-9.874442687371669,36.42288,4.407183803330994e-11,36.42288,-0.000369843184181388,36.42288,6542.879567741687,36.42288,-7.681450982914132e-14,36.42288,-0.4132505630776664,36.42288,1.005993838263751e-10
38.01562,-9.874442687356863,38.01562,4.407183803314763e-11,38.01562,-0.0003860160909716668,38.01562,6268.752701373266,38.01562,-7.681450982876817e-14,38.01562,-0.4132505630771106,38.01562,1.005993838260692e-10
39.67801,-9.874442687342633,39.67801,4.407183803299165e-11,39.67801,-0.0004028962242979879,39.67801,6006.110921668902,39.67801,-7.681450982842366e-14,39.67801,-0.413250563076577,39.67801,1.005993838257753e-10
