kcgd_n X,kcgd_n Y,kgds_n X,kgds_n Y,vs X,vs Y,gmn X,gmn Y,kcgs_n X,kcgs_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y
1.321941e-05,-1.809813305526933e-10,1.321941e-05,0.2822423544272651,1.321941e-05,1.069347593483513,1.321941e-05,6.659823116048667e-05,1.321941e-05,-3.757607695317963e-10,1.321941e-05,963380.8912968189,1.321941e-05,18.1085179789394,1.321941e-05,3.677729521429741e-06
1.519911e-05,-1.648590896705207e-10,1.519911e-05,0.2784848643655261,1.519911e-05,1.065291649368543,1.519911e-05,7.240596593249444e-05,1.519911e-05,-3.47427778454539e-10,1.519911e-05,889373.5284095473,1.519911e-05,17.9332972341489,1.519911e-05,4.037515521385421e-06
1.747528e-05,-1.505346930671647e-10,1.747528e-05,0.2747564785137176,1.747528e-05,1.061241978535714,1.747528e-05,7.850923300744259e-05,1.747528e-05,-3.218308847328334e-10,1.747528e-05,823092.0088381059,1.747528e-05,17.75485219788699,1.747528e-05,4.421846610290904e-06
2.009233e-05,-1.378011630180003e-10,2.009233e-05,0.2710659782108925,2.009233e-05,1.057199550135558,2.009233e-05,8.489036364233943e-05,2.009233e-05,-2.987036952794929e-10,2.009233e-05,763703.5787952614,2.009233e-05,17.57349863292504,2.009233e-05,4.830589822523563e-06
2.31013e-05,-1.264762307294078e-10,2.31013e-05,0.2674225825326785,2.31013e-05,1.053165325826373,2.31013e-05,9.152675796224655e-05,2.31013e-05,-2.778074335887567e-10,2.31013e-05,710469.5257290204,2.31013e-05,17.38968087235002,2.31013e-05,5.263279909165907e-06
2.656088e-05,-1.163993408480207e-10,2.656088e-05,0.2638358212222406,2.656088e-05,1.049140269431171,2.656088e-05,9.839098271738007e-05,2.656088e-05,-2.589277710952328e-10,2.656088e-05,662734.3900988583,2.656088e-05,17.20396559152521,2.656088e-05,5.719087392609534e-06
3.053856e-05,-1.074290061562567e-10,3.053856e-05,0.2603153932903876,3.053856e-05,1.045125350671837,3.053856e-05,0.0001054510361068676,3.053856e-05,-2.418720477515263e-10,3.053856e-05,619916.3227423469,3.053856e-05,17.01703033606473,3.053856e-05,6.196794271641037e-06
3.511191999999999e-05,-9.944047075863833e-11,3.511191999999999e-05,0.2568710125100305,3.511191999999999e-05,1.041121538116822,3.511191999999999e-05,0.0001126707913554683,3.511191999999999e-05,-2.26466823484459e-10,3.511191999999999e-05,581498.4621179511,3.511191999999999e-05,16.82964722957195,3.511191999999999e-05,6.694780337254523e-06
4.037017e-05,-9.232365746528714e-11,4.037017e-05,0.2535122467667056,4.037017e-05,1.037129781585948,4.037017e-05,0.0001200106109946728,4.037017e-05,-2.125557354466415e-10,4.037017e-05,547021.2814403403,4.037017e-05,16.64266278705827,4.037017e-05,7.211022210219624e-06
4.641589e-05,-8.598139442475635e-11,4.641589e-05,0.2502483702304749,4.641589e-05,1.033150997681028,4.641589e-05,0.0001274280834953045,4.641589e-05,-1.999976761906624e-10,4.641589e-05,516075.9458799594,4.641589e-05,16.45697564472741,4.641589e-05,7.743104580465897e-06
5.336699e-05,-8.032788354199332e-11,5.336699e-05,0.2470882363211331,5.336699e-05,1.029186059765439,5.336699e-05,0.0001348788390418789,5.336699e-05,-1.886652464184234e-10,5.336699e-05,488298.5596152782,5.336699e-05,16.27351362315106,5.336699e-05,8.288243225482494e-06
6.135907e-05,-7.528736548825494e-11,6.135907e-05,0.2440401702811911,6.135907e-05,1.025235781083862,6.135907e-05,0.0001423174112603067,6.135907e-05,-1.784434164577031e-10,6.135907e-05,463365.134313778,6.135907e-05,16.09321106388834,6.135907e-05,8.843319751124974e-06
7.054801999999999e-05,-7.079296321617369e-11,7.054801999999999e-05,0.2411118889373,7.054801999999999e-05,1.021300887229232,7.054801999999999e-05,0.0001496980840062063,7.054801999999999e-05,-1.692283808593548e-10,7.054801999999999e-05,440987.2338746621,7.054801999999999e-05,15.91698784164641,7.054801999999999e-05,9.404925447924569e-06
8.111308e-05,-6.6785700009655e-11,8.111308e-05,0.2383104640817151,8.111308e-05,1.01738198390271,8.111308e-05,0.0001569756302739723,8.111308e-05,-1.609266188197953e-10,8.111308e-05,420908.3159372107,8.111308e-05,15.74573195817341,8.111308e-05,9.969408261931469e-06
9.326032999999999e-05,-6.321368462681064e-11,9.326032999999999e-05,0.2356423463370569,9.326032999999999e-05,1.013479527908681,9.326032999999999e-05,0.0001641058391650286,9.326032999999999e-05,-1.53454166234351e-10,9.326032999999999e-05,402900.7705368215,9.326032999999999e-05,15.58028761872863,9.326032999999999e-05,1.053291461498834e-05
0.0001072267,-6.00314493123644e-11,0.0001072267,0.2331134616817629,0.0001072267,1.009593806521575,0.0001072267,0.0001710457357952163,0.0001072267,-1.467360895805204e-10,0.0001072267,386763.6171771603,0.0001072267,15.42145029702455,0.0001072267,1.10914169874294e-05
0.0001232847,-5.719942322431445e-11,0.0001232847,0.2307293870633765,0.0001232847,1.005724927158586,0.0001232847,0.0001777534209151294,0.0001232847,-1.407061419863047e-10,0.0001232847,372320.7977660556,0.0001232847,15.26996974133746,0.0001232847,1.164071860823219e-05
0.0001417474,-5.468352446031308e-11,0.0001417474,0.2284956067225393,0.0001417474,1.001872818258429,0.0001417474,0.0001841874863854897,0.0001417474,-1.353065795986322e-10,0.0001417474,359419.9973895082,0.0001417474,15.12656131473909,0.0001417474,1.217642810901248e-05
0.0001629751,-5.245031745330239e-11,0.0001629751,0.226413515495216,0.0001629751,0.9980289438998665,0.0001629751,0.0001903188911063217,0.0001629751,-1.304782699680308e-10,0.0001629751,347908.4710236049,0.0001629751,14.99164362778865,0.0001629751,1.269499834918333e-05
0.0001873817,-5.048872723653983e-11,0.0001873817,0.2245017185045235,0.0001873817,0.9942162395610588,0.0001873817,0.0001960673993370485,0.0001873817,-1.262083338015011e-10,0.0001873817,337746.026670984,0.0001873817,14.8667249528248,0.0001873817,1.318833838382098e-05
0.0002154435,-4.876982736927436e-11,0.0002154435,0.2227585207769869,0.0002154435,0.9904175814226176,0.0002154435,0.0002014124806889296,0.0002154435,-1.224434539330589e-10,0.0002154435,328798.0743844124,0.0002154435,14.75196825636263,0.0002154435,1.365326153017303e-05
0.0002477076,-4.726369889650262e-11,0.0002477076,0.2211761559014068,0.0002477076,0.9865886418240684,0.0002477076,0.0002063544306758664,0.0002477076,-1.191260237278959e-10,0.0002477076,320921.8181164096,0.0002477076,14.64708991905614,0.0002477076,1.408842519683009e-05
0.0002848036,-4.600061741649501e-11,0.0002848036,0.219807988438528,0.0002848036,0.982832778881742,0.0002848036,0.0002107006332512872,0.0002848036,-1.163300637876492e-10,0.0002848036,314288.2708892886,0.0002848036,14.55584714671397,0.0002848036,1.447532604097547e-05
0.0003274549,-4.494947029557056e-11,0.0003274549,0.2186401296768163,0.0003274549,0.9790829276213611,0.0003274549,0.0002144681459278401,0.0003274549,-1.139933098068907e-10,0.0003274549,308746.0964352655,0.0003274549,14.47751918109456,0.0003274549,1.481387406537874e-05
