kcgd X,kcgd Y,kgmp X,kgmp Y,ids X,ids Y,kgds X,kgds Y,rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y
110.8299,9.939808222556802e-11,110.8299,-12.63709852277129,110.8299,-0.0004648726778354979,110.8299,-0.377817615702196,110.8299,5693.558339716771,110.8299,-1.643836969548987e-13,110.8299,2.164503880436477e-10
115.6763,9.939808222541202e-11,115.6763,-12.63709852276474,115.6763,-0.0004852011381375924,115.6763,-0.3778176157020325,115.6763,5455.015464220415,115.6763,-1.643836969545991e-13,115.6763,2.164503880433889e-10
120.7348,9.939808222526052e-11,120.7348,-12.63709852275837,120.7348,-0.0005064185435593882,120.7348,-0.3778176157018742,120.7348,5226.466813786078,120.7348,-1.643836969543363e-13,120.7348,2.164503880431371e-10
126.0144,9.939808222511866e-11,126.0144,-12.63709852275241,126.0144,-0.0005285637668641673,126.0144,-0.3778176157017248,126.0144,5007.493660609259,126.0144,-1.643836969541238e-13,126.0144,2.164503880429019e-10
131.5249,9.939808222497974e-11,131.5249,-12.63709852274658,131.5249,-0.0005516773806859385,131.5249,-0.3778176157015798,131.5249,4797.694820313568,131.5249,-1.643836969538898e-13,131.5249,2.164503880426711e-10
137.2764,9.939808222484859e-11,137.2764,-12.63709852274106,137.2764,-0.0005758017318631045,137.2764,-0.3778176157014418,137.2764,4596.685916935234,137.2764,-1.64383696953634e-13,137.2764,2.164503880424533e-10
143.2793,9.939808222472357e-11,143.2793,-12.63709852273582,143.2793,-0.0006009810190229266,143.2793,-0.3778176157013104,143.2793,4404.098678700533,143.2793,-1.643836969533614e-13,143.2793,2.164503880422461e-10
149.5448,9.939808222460225e-11,149.5448,-12.63709852273072,149.5448,-0.0006272613735585096,149.5448,-0.3778176157011833,149.5448,4219.580263309447,149.5448,-1.643836969532141e-13,149.5448,2.164503880420446e-10
156.0843,9.939808222448643e-11,156.0843,-12.63709852272585,156.0843,-0.0006546909441469039,156.0843,-0.3778176157010619,156.0843,4042.792611487245,156.0843,-1.643836969530025e-13,156.0843,2.164503880418524e-10
162.9097,9.939808222437408e-11,162.9097,-12.63709852272113,162.9097,-0.0006833199849631272,162.9097,-0.3778176157009448,162.9097,3873.411827620344,162.9097,-1.64383696952772e-13,162.9097,2.164503880416657e-10
170.0336,9.939808222426909e-11,170.0336,-12.63709852271672,170.0336,-0.0007132009477516216,170.0336,-0.3778176157008342,170.0336,3711.127586342007,170.0336,-1.643836969525619e-13,170.0336,2.164503880414915e-10
177.469,9.9398082224167e-11,177.469,-12.63709852271243,177.469,-0.0007443885779240639,177.469,-0.377817615700727,177.469,3555.642563979615,177.469,-1.643836969524125e-13,177.469,2.16450388041322e-10
185.2295,9.939808222407009e-11,185.2295,-12.63709852270836,185.2295,-0.0007769400148592605,185.2295,-0.3778176157006253,185.2295,3406.671893823392,185.2295,-1.643836969522336e-13,185.2295,2.164503880411613e-10
193.3295,9.9398082223976e-11,193.3295,-12.63709852270441,193.3295,-0.0008109148965892273,193.3295,-0.3778176157005269,193.3295,3263.942644217077,193.3295,-1.643836969520631e-13,193.3295,2.16450388041005e-10
201.7836,9.939808222388685e-11,201.7836,-12.63709852270066,201.7836,-0.0008463754690629527,201.7836,-0.377817615700433,201.7836,3127.193318515535,201.7836,-1.643836969519134e-13,201.7836,2.164503880408571e-10
