kcgd_n X,kcgd_n Y
8.708430999999999e-06,-7.862084048889488e-11
8.829700000000001e-06,-7.755765090262585e-11
8.952657000000001e-06,-7.650900321903826e-11
9.077326999999999e-06,-7.547469847203206e-11
9.203732000000001e-06,-7.445454038108642e-11
9.331898000000001e-06,-7.344833536900804e-11
9.461847999999999e-06,-7.245589248164144e-11
9.593607999999999e-06,-7.147702338136134e-11
9.727202999999999e-06,-7.051154229417573e-11
9.862658e-06,-6.955926598126678e-11
9.999999999999999e-06,-6.8620013710471e-11
1.013925e-05,-6.769360718832103e-11
1.028045e-05,-6.677987067081595e-11
1.042361e-05,-6.587863061714668e-11
1.056876e-05,-6.498971602234582e-11
1.071593e-05,-6.411295809983285e-11
1.086516e-05,-6.324819046681832e-11
1.101646e-05,-6.239524896273901e-11
1.116987e-05,-6.155397170830443e-11
1.132541e-05,-6.07241988881079e-11
1.148312e-05,-5.990577302477451e-11
