kgds X,kgds Y,ids X,ids Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kcds X,kcds Y,rds X,rds Y,kcgd X,kcgd Y
110.8299,-0.4037399003748751,110.8299,-0.0003245728843504633,110.8299,2.930837629747781e-10,110.8299,-14.41868227031559,110.8299,-2.143936902270837e-13,110.8299,7631.081529839611,110.8299,1.424565773490628e-10
115.6763,-0.4037399003746929,115.6763,-0.0003387661620139522,115.6763,2.930837629743915e-10,115.6763,-14.41868227030805,115.6763,-2.143936902266918e-13,115.6763,7311.362292296174,115.6763,1.424565773488081e-10
120.7348,-0.4037399003745185,120.7348,-0.0003535800988283983,120.7348,2.930837629740215e-10,120.7348,-14.41868227030083,120.7348,-2.143936902263959e-13,120.7348,7005.038323884436,120.7348,1.424565773485643e-10
126.0144,-0.4037399003743518,126.0144,-0.0003690418356551835,126.0144,2.930837629736682e-10,126.0144,-14.41868227029395,126.0144,-2.143936902260703e-13,126.0144,6711.548403338888,126.0144,1.424565773483316e-10
131.5249,-0.4037399003741912,131.5249,-0.0003851797002009391,131.5249,2.930837629733263e-10,131.5249,-14.4186822702873,131.5249,-2.143936902257116e-13,131.5249,6430.354822867545,131.5249,1.424565773481065e-10
137.2764,-0.4037399003740381,137.2764,-0.000402023258917175,137.2764,2.93083762973002e-10,137.2764,-14.41868227028098,137.2764,-2.143936902253889e-13,137.2764,6160.942403009083,137.2764,1.424565773478927e-10
143.2793,-0.4037399003738911,143.2793,-0.0004196033711695197,143.2793,2.930837629726896e-10,143.2793,-14.41868227027489,143.2793,-2.143936902251571e-13,143.2793,5902.817548763166,143.2793,1.424565773476869e-10
149.5448,-0.40373990037375,149.5448,-0.0004379522457756292,149.5448,2.930837629723902e-10,149.5448,-14.41868227026906,149.5448,-2.14393690224818e-13,149.5448,5655.507345267552,149.5448,1.424565773474897e-10
156.0843,-0.4037399003736155,156.0843,-0.000457103500015537,156.0843,2.930837629721045e-10,156.0843,-14.41868227026348,156.0843,-2.143936902246523e-13,156.0843,5418.558691362302,156.0843,1.424565773473015e-10
162.9097,-0.4037399003734866,162.9097,-0.0004770922212224201,162.9097,2.930837629718321e-10,162.9097,-14.41868227025817,162.9097,-2.143936902243505e-13,162.9097,5191.537469455837,162.9097,1.42456577347122e-10
170.0336,-0.4037399003733623,170.0336,-0.0004979550310667016,170.0336,2.93083762971568e-10,170.0336,-14.41868227025303,170.0336,-2.143936902241524e-13,170.0336,4974.027750170664,170.0336,1.42456577346948e-10
177.469,-0.4037399003732438,177.469,-0.0005197301526511922,177.469,2.930837629713163e-10,177.469,-14.41868227024813,177.469,-2.143936902238142e-13,177.469,4765.631030312543,177.469,1.424565773467822e-10
185.2295,-0.4037399003731296,185.2295,-0.0005424574805403251,185.2295,2.930837629710731e-10,185.2295,-14.41868227024338,185.2295,-2.143936902236179e-13,185.2295,4565.965502765657,185.2295,1.42456577346622e-10
193.3295,-0.4037399003730216,193.3295,-0.0005661786538515998,193.3295,2.93083762970845e-10,193.3295,-14.41868227023894,193.3295,-2.143936902234485e-13,193.3295,4374.665356977871,193.3295,1.424565773464716e-10
